lesson_id,grade,level,title,total_components,external_count,internal_count,relationships,shared_targets,has_shared_targets,feedback_loops,has_feedback_loops,needs_conditions,total_conditions,condition_1_connection,condition_1_type,condition_1_text,condition_1_justification,condition_2_connection,condition_2_type,condition_2_text,condition_2_justification,condition_3_connection,condition_3_type,condition_3_text,condition_3_justification,sub_if_thens,all_conditions_json
G02-L10,2nd Grade,1,How Do Rocks Tell Stories?,3,1,2,Earth Event (slow) (+)→ Rock Type; Earth Event (fast) (+)→ Rock Type,"Rock Type ← [Earth Event (slow), Earth Event (fast)]",Yes,None,No,Yes,2,Earth Event (slow) → Rock Type,MUT,IF Earth Event (fast) is ON,"Earth Event (slow) and Earth Event (fast) both affect Rock Type, but Earth Event (slow)'s effect depends on Earth Event (fast) being active in the system.",Earth Event (fast) → Rock Type,MUT,IF Earth Event (slow) is ON,"Earth Event (fast) and Earth Event (slow) both affect Rock Type, but Earth Event (fast)'s effect depends on Earth Event (slow) being active in the system.",,,,,None,"[{'connection': 'Earth Event (slow) → Rock Type', 'type': 'MUT', 'condition_text': 'IF Earth Event (fast) is ON', 'scientific_justification': ""Earth Event (slow) and Earth Event (fast) both affect Rock Type, but Earth Event (slow)'s effect depends on Earth Event (fast) being active in the system."", 'sign': '+'}, {'connection': 'Earth Event (fast) → Rock Type', 'type': 'MUT', 'condition_text': 'IF Earth Event (slow) is ON', 'scientific_justification': ""Earth Event (fast) and Earth Event (slow) both affect Rock Type, but Earth Event (fast)'s effect depends on Earth Event (slow) being active in the system."", 'sign': '+'}]"
G03-L01,3rd Grade,1,Why Do Magnets Stick?,3,1,2,Magnet Strength (+)→ Magnetic Force; Magnetic Force (+)→ Attraction,,No,None,No,No,0,,,,,,,,,,,,,None,[]
G03-L02,3rd Grade,1,Can You Predict the Weather?,3,1,2,Temperature (+)→ Cloud Cover; Cloud Cover (+)→ Chance of Rain,,No,None,No,No,0,,,,,,,,,,,,,None,[]
G03-L03,3rd Grade,1,Why Do Animals Live in Groups?,3,1,2,Group Size (+)→ Predator Detection; Predator Detection (+)→ Survival Rate,,No,None,No,No,0,,,,,,,,,,,,,None,[]
G03-L04,3rd Grade,1,How Do Fossils Form?,3,1,2,Burial Depth (+)→ Pressure; Pressure (+)→ Fossilization,,No,None,No,No,0,,,,,,,,,,,,,None,[]
G03-L05,3rd Grade,1,Why Do Some Animals Look Different?,3,1,2,Parent Traits (+)→ Genetic Variation; Genetic Variation (+)→ Offspring Appearance,,No,None,No,No,0,,,,,,,,,,,,,None,[]
G03-L06,3rd Grade,1,How Does Water Shape the Land?,3,1,2,Water Flow (+)→ Erosion Strength; Erosion Strength (+)→ Land Shape Change,,No,None,No,No,0,,,,,,,,,,,,,None,[]
G03-L07,3rd Grade,1,What Happens When Habitats Change?,3,1,2,Habitat Change (+)→ Food Availability; Food Availability (+)→ Animal Population,,No,None,No,No,0,,,,,,,,,,,,,None,[]
G03-L08,3rd Grade,1,Can Plants Survive Without Bees?,3,1,2,Pollinator Visits (+)→ Pollination Success; Pollination Success (+)→ Fruit Production,,No,None,No,No,0,,,,,,,,,,,,,None,[]
G03-L09,3rd Grade,1,How Can We Protect Against Natural Hazards?,3,2,1,Protection Design (+)→ Damage Reduction; Hazard Strength (+)→ Damage Reduction,"Damage Reduction ← [Protection Design, Hazard Strength]",Yes,None,No,Yes,2,Protection Design → Damage Reduction,2EX,IF Hazard Strength is ON,"Protection Design only affects Damage Reduction when Hazard Strength creates the right conditions. Without Hazard Strength, Protection Design alone cannot drive Damage Reduction.",Hazard Strength → Damage Reduction,2EX,IF Protection Design is ON,"Hazard Strength only affects Damage Reduction when Protection Design creates the right conditions. Without Protection Design, Hazard Strength alone cannot drive Damage Reduction.",,,,,None,"[{'connection': 'Protection Design → Damage Reduction', 'type': '2EX', 'condition_text': 'IF Hazard Strength is ON', 'scientific_justification': 'Protection Design only affects Damage Reduction when Hazard Strength creates the right conditions. Without Hazard Strength, Protection Design alone cannot drive Damage Reduction.', 'sign': '+'}, {'connection': 'Hazard Strength → Damage Reduction', 'type': '2EX', 'condition_text': 'IF Protection Design is ON', 'scientific_justification': 'Hazard Strength only affects Damage Reduction when Protection Design creates the right conditions. Without Protection Design, Hazard Strength alone cannot drive Damage Reduction.', 'sign': '+'}]"
G03-L10,3rd Grade,1,Why Do Objects Move Differently?,3,1,2,Push Force (+)→ Object Motion; Friction (+)→ Object Motion,"Object Motion ← [Push Force, Friction]",Yes,None,No,Yes,1,Push Force → Object Motion,AMP,IF Friction is ON,"Push Force amplifies the effect on Object Motion, but only when Friction is active. Without Friction, Push Force alone cannot cause changes in Object Motion.",,,,,,,,,None,"[{'connection': 'Push Force → Object Motion', 'type': 'AMP', 'condition_text': 'IF Friction is ON', 'scientific_justification': 'Push Force amplifies the effect on Object Motion, but only when Friction is active. Without Friction, Push Force alone cannot cause changes in Object Motion.', 'sign': '+'}]"
G04L1-L01,4th Grade,1,Why Do Roller Coasters Go So Fast?,3,1,2,Hill Height (+)→ Speed at Bottom; Speed at Bottom (+)→ Energy of Motion,,No,None,No,No,0,,,,,,,,,,,,,None,[]
G04L1-L02,4th Grade,1,How Does Your Phone Hear Your Voice?,3,1,2,Sound Wave Strength (+)→ Vibration Size; Vibration Size (+)→ Volume Level,,No,None,No,No,0,,,,,,,,,,,,,None,[]
G04L1-L03,4th Grade,1,Why Can't You See in the Dark?,3,1,2,Light Source Brightness (+)→ Light Bouncing Off Objects; Light Bouncing Off Objects (+)→ Eye Detection,,No,None,No,No,0,,,,,,,,,,,,,None,[]
G04L1-L04,4th Grade,1,Why Do Animals Have Superpowers?,3,2,1,Body Structure Type (+)→ Survival Rate; Environment Danger Level (-)→ Survival Rate,"Survival Rate ← [Body Structure Type, Environment Danger Level]",Yes,None,No,Yes,2,Body Structure Type → Survival Rate,2EX,IF Environment Danger Level is OFF,"Body Structure Type only affects Survival Rate when Environment Danger Level creates the right conditions. Without Environment Danger Level, Body Structure Type alone cannot drive Survival Rate.",Environment Danger Level → Survival Rate,2EX,IF Body Structure Type is ON,"Environment Danger Level only affects Survival Rate when Body Structure Type creates the right conditions. Without Body Structure Type, Environment Danger Level alone cannot drive Survival Rate.",,,,,None,"[{'connection': 'Body Structure Type → Survival Rate', 'type': '2EX', 'condition_text': 'IF Environment Danger Level is OFF', 'scientific_justification': 'Body Structure Type only affects Survival Rate when Environment Danger Level creates the right conditions. Without Environment Danger Level, Body Structure Type alone cannot drive Survival Rate.', 'sign': '+'}, {'connection': 'Environment Danger Level → Survival Rate', 'type': '2EX', 'condition_text': 'IF Body Structure Type is ON', 'scientific_justification': 'Environment Danger Level only affects Survival Rate when Body Structure Type creates the right conditions. Without Body Structure Type, Environment Danger Level alone cannot drive Survival Rate.', 'sign': '-'}]"
G04L1-L05,4th Grade,1,How Does Your Brain Know That's Hot?,3,1,2,Heat Source Intensity (+)→ Nerve Signal Speed; Nerve Signal Speed (+)→ Brain Response Time,,No,None,No,No,0,,,,,,,,,,,,,None,[]
G04L1-L06,4th Grade,1,Why Are There Seashells on Mountains?,3,2,1,Sediment Buildup (+)→ Fossil Exposure; Earth Movement Speed (+)→ Fossil Exposure,"Fossil Exposure ← [Sediment Buildup, Earth Movement Speed]",Yes,None,No,Yes,2,Sediment Buildup → Fossil Exposure,2EX,IF Earth Movement Speed is ON,"Sediment Buildup only affects Fossil Exposure when Earth Movement Speed creates the right conditions. Without Earth Movement Speed, Sediment Buildup alone cannot drive Fossil Exposure.",Earth Movement Speed → Fossil Exposure,2EX,IF Sediment Buildup is ON,"Earth Movement Speed only affects Fossil Exposure when Sediment Buildup creates the right conditions. Without Sediment Buildup, Earth Movement Speed alone cannot drive Fossil Exposure.",,,,,None,"[{'connection': 'Sediment Buildup → Fossil Exposure', 'type': '2EX', 'condition_text': 'IF Earth Movement Speed is ON', 'scientific_justification': 'Sediment Buildup only affects Fossil Exposure when Earth Movement Speed creates the right conditions. Without Earth Movement Speed, Sediment Buildup alone cannot drive Fossil Exposure.', 'sign': '+'}, {'connection': 'Earth Movement Speed → Fossil Exposure', 'type': '2EX', 'condition_text': 'IF Sediment Buildup is ON', 'scientific_justification': 'Earth Movement Speed only affects Fossil Exposure when Sediment Buildup creates the right conditions. Without Sediment Buildup, Earth Movement Speed alone cannot drive Fossil Exposure.', 'sign': '+'}]"
G04L1-L07,4th Grade,1,Can a River Eat a Mountain?,3,2,1,Water Flow Speed (+)→ Erosion Rate; Rock Hardness (-)→ Erosion Rate,"Erosion Rate ← [Water Flow Speed, Rock Hardness]",Yes,None,No,Yes,2,Water Flow Speed → Erosion Rate,2EX,IF Rock Hardness is OFF,"Water Flow Speed only affects Erosion Rate when Rock Hardness creates the right conditions. Without Rock Hardness, Water Flow Speed alone cannot drive Erosion Rate.",Rock Hardness → Erosion Rate,2EX,IF Water Flow Speed is ON,"Rock Hardness only affects Erosion Rate when Water Flow Speed creates the right conditions. Without Water Flow Speed, Rock Hardness alone cannot drive Erosion Rate.",,,,,None,"[{'connection': 'Water Flow Speed → Erosion Rate', 'type': '2EX', 'condition_text': 'IF Rock Hardness is OFF', 'scientific_justification': 'Water Flow Speed only affects Erosion Rate when Rock Hardness creates the right conditions. Without Rock Hardness, Water Flow Speed alone cannot drive Erosion Rate.', 'sign': '+'}, {'connection': 'Rock Hardness → Erosion Rate', 'type': '2EX', 'condition_text': 'IF Water Flow Speed is ON', 'scientific_justification': 'Rock Hardness only affects Erosion Rate when Water Flow Speed creates the right conditions. Without Water Flow Speed, Rock Hardness alone cannot drive Erosion Rate.', 'sign': '-'}]"
G04L1-L08,4th Grade,1,Where Does Your Electricity Come From?,3,1,2,Energy Source Amount (+)→ Power Plant Output; Power Plant Output (+)→ Home Electricity,,No,None,No,No,0,,,,,,,,,,,,,None,[]
G04L1-L09,4th Grade,1,Can We Stop an Earthquake from Breaking Buildings?,3,1,2,Earthquake Strength (+)→ Damage Level; Building Flexibility (-)→ Damage Level,"Damage Level ← [Earthquake Strength, Building Flexibility]",Yes,None,No,Yes,1,Earthquake Strength → Damage Level,AMP,IF Building Flexibility is ON,"Earthquake Strength amplifies the effect on Damage Level, but only when Building Flexibility is active. Without Building Flexibility, Earthquake Strength alone cannot cause changes in Damage Level.",,,,,,,,,None,"[{'connection': 'Earthquake Strength → Damage Level', 'type': 'AMP', 'condition_text': 'IF Building Flexibility is ON', 'scientific_justification': 'Earthquake Strength amplifies the effect on Damage Level, but only when Building Flexibility is active. Without Building Flexibility, Earthquake Strength alone cannot cause changes in Damage Level.', 'sign': '+'}]"
G04L1-L10,4th Grade,1,Why Do Marbles Crash and Bounce?,3,1,2,Marble Speed (+)→ Collision Force; Collision Force (+)→ Energy Transfer,,No,None,No,No,0,,,,,,,,,,,,,None,[]
G04L2-L01,4th,2,The Energy Roller Coaster,5,2,3,Hill Height (+)→ Potential Energy; Potential Energy (+)→ Kinetic Energy; Track Friction (+)→ Heat Loss; Heat Loss (-)→ Kinetic Energy,"Kinetic Energy ← [Potential Energy, Heat Loss]",Yes,None,No,Yes,2,Potential Energy → Kinetic Energy,MUT,IF Heat Loss is ON,"Potential Energy and Heat Loss both affect Kinetic Energy, but Potential Energy's effect depends on Heat Loss being active in the system.",Heat Loss → Kinetic Energy,MUT,IF Potential Energy is ON,"Heat Loss and Potential Energy both affect Kinetic Energy, but Heat Loss's effect depends on Potential Energy being active in the system.",,,,,"Heat Loss → Kinetic Energy: IF Potential Energy is ON, BUT Potential Energy depends on: Hill Height (+)→ Potential Energy; Potential Energy → Kinetic Energy: IF Heat Loss is ON, BUT Heat Loss depends on: Track Friction (+)→ Heat Loss","[{'connection': 'Potential Energy → Kinetic Energy', 'type': 'MUT', 'condition_text': 'IF Heat Loss is ON', 'scientific_justification': ""Potential Energy and Heat Loss both affect Kinetic Energy, but Potential Energy's effect depends on Heat Loss being active in the system."", 'sign': '+'}, {'connection': 'Heat Loss → Kinetic Energy', 'type': 'MUT', 'condition_text': 'IF Potential Energy is ON', 'scientific_justification': ""Heat Loss and Potential Energy both affect Kinetic Energy, but Heat Loss's effect depends on Potential Energy being active in the system."", 'sign': '-'}]"
G04L2-L02,4th,2,Can Sound Travel Through Space?,5,2,3,Vibration Strength (+)→ Sound Loudness; Medium Density (+)→ Wave Speed; Medium Density (-)→ Wave Absorption; Wave Absorption (-)→ Sound Loudness; Vibration Strength (+)→ Wave Speed,"Sound Loudness ← [Vibration Strength, Wave Absorption]; Wave Speed ← [Medium Density, Vibration Strength]",Yes,None,No,Yes,3,Vibration Strength → Sound Loudness,AMP,IF Wave Absorption is ON,"Vibration Strength amplifies the effect on Sound Loudness, but only when Wave Absorption is active. Without Wave Absorption, Vibration Strength alone cannot cause changes in Sound Loudness.",Medium Density → Wave Speed,2EX,IF Vibration Strength is ON,"Medium Density only affects Wave Speed when Vibration Strength creates the right conditions. Without Vibration Strength, Medium Density alone cannot drive Wave Speed.",Vibration Strength → Wave Speed,2EX,IF Medium Density is ON,"Vibration Strength only affects Wave Speed when Medium Density creates the right conditions. Without Medium Density, Vibration Strength alone cannot drive Wave Speed.","Vibration Strength → Sound Loudness: IF Wave Absorption is ON, BUT Wave Absorption depends on: Medium Density (-)→ Wave Absorption","[{'connection': 'Vibration Strength → Sound Loudness', 'type': 'AMP', 'condition_text': 'IF Wave Absorption is ON', 'scientific_justification': 'Vibration Strength amplifies the effect on Sound Loudness, but only when Wave Absorption is active. Without Wave Absorption, Vibration Strength alone cannot cause changes in Sound Loudness.', 'sign': '+'}, {'connection': 'Medium Density → Wave Speed', 'type': '2EX', 'condition_text': 'IF Vibration Strength is ON', 'scientific_justification': 'Medium Density only affects Wave Speed when Vibration Strength creates the right conditions. Without Vibration Strength, Medium Density alone cannot drive Wave Speed.', 'sign': '+'}, {'connection': 'Vibration Strength → Wave Speed', 'type': '2EX', 'condition_text': 'IF Medium Density is ON', 'scientific_justification': 'Vibration Strength only affects Wave Speed when Medium Density creates the right conditions. Without Medium Density, Vibration Strength alone cannot drive Wave Speed.', 'sign': '+'}]"
G04L2-L03,4th,2,Why Do Some Animals Survive Winter?,5,2,3,Temperature (-)→ Metabolic Rate; Food Availability (+)→ Survival Chance; Body Insulation (-)→ Metabolic Rate; Metabolic Rate (-)→ Survival Chance; Food Availability (+)→ Body Insulation,"Metabolic Rate ← [Temperature, Body Insulation]; Survival Chance ← [Food Availability, Metabolic Rate]",Yes,None,No,Yes,2,Temperature → Metabolic Rate,AMP,IF Body Insulation is ON,"Temperature amplifies the effect on Metabolic Rate, but only when Body Insulation is active. Without Body Insulation, Temperature alone cannot cause changes in Metabolic Rate.",Food Availability → Survival Chance,AMP,IF Metabolic Rate is ON,"Food Availability amplifies the effect on Survival Chance, but only when Metabolic Rate is active. Without Metabolic Rate, Food Availability alone cannot cause changes in Survival Chance.",,,,,"Food Availability → Survival Chance: IF Metabolic Rate is ON, BUT Metabolic Rate depends on: Temperature (-)→ Metabolic Rate; Body Insulation (-)→ Metabolic Rate; Temperature → Metabolic Rate: IF Body Insulation is ON, BUT Body Insulation depends on: Food Availability (+)→ Body Insulation","[{'connection': 'Temperature → Metabolic Rate', 'type': 'AMP', 'condition_text': 'IF Body Insulation is ON', 'scientific_justification': 'Temperature amplifies the effect on Metabolic Rate, but only when Body Insulation is active. Without Body Insulation, Temperature alone cannot cause changes in Metabolic Rate.', 'sign': '-'}, {'connection': 'Food Availability → Survival Chance', 'type': 'AMP', 'condition_text': 'IF Metabolic Rate is ON', 'scientific_justification': 'Food Availability amplifies the effect on Survival Chance, but only when Metabolic Rate is active. Without Metabolic Rate, Food Availability alone cannot cause changes in Survival Chance.', 'sign': '+'}]"
G04L2-L04,4th,2,The Mountain That Used to Be an Ocean,5,2,3,Plate Movement Speed (+)→ Compression Force; Compression Force (+)→ Rock Uplift; Sediment Deposit Rate (+)→ Fossil Elevation; Rock Uplift (+)→ Fossil Elevation,"Fossil Elevation ← [Sediment Deposit Rate, Rock Uplift]",Yes,None,No,Yes,1,Sediment Deposit Rate → Fossil Elevation,AMP,IF Rock Uplift is ON,"Sediment Deposit Rate amplifies the effect on Fossil Elevation, but only when Rock Uplift is active. Without Rock Uplift, Sediment Deposit Rate alone cannot cause changes in Fossil Elevation.",,,,,,,,,"Sediment Deposit Rate → Fossil Elevation: IF Rock Uplift is ON, BUT Rock Uplift depends on: Compression Force (+)→ Rock Uplift","[{'connection': 'Sediment Deposit Rate → Fossil Elevation', 'type': 'AMP', 'condition_text': 'IF Rock Uplift is ON', 'scientific_justification': 'Sediment Deposit Rate amplifies the effect on Fossil Elevation, but only when Rock Uplift is active. Without Rock Uplift, Sediment Deposit Rate alone cannot cause changes in Fossil Elevation.', 'sign': '+'}]"
G04L2-L05,4th,2,Can We Power a City with Wind?,5,2,3,Wind Speed (+)→ Electricity Generated; Number of Turbines (+)→ Electricity Generated; City Energy Demand (-)→ Grid Reliability; Electricity Generated (+)→ Grid Reliability,"Electricity Generated ← [Wind Speed, Number of Turbines]; Grid Reliability ← [City Energy Demand, Electricity Generated]",Yes,None,No,Yes,4,Wind Speed → Electricity Generated,2EX,IF Number of Turbines is ON,"Wind Speed only affects Electricity Generated when Number of Turbines creates the right conditions. Without Number of Turbines, Wind Speed alone cannot drive Electricity Generated.",Number of Turbines → Electricity Generated,2EX,IF Wind Speed is ON,"Number of Turbines only affects Electricity Generated when Wind Speed creates the right conditions. Without Wind Speed, Number of Turbines alone cannot drive Electricity Generated.",City Energy Demand → Grid Reliability,MUT,IF Electricity Generated is ON,"City Energy Demand and Electricity Generated both affect Grid Reliability, but City Energy Demand's effect depends on Electricity Generated being active in the system.","City Energy Demand → Grid Reliability: IF Electricity Generated is ON, BUT Electricity Generated depends on: Wind Speed (+)→ Electricity Generated; Number of Turbines (+)→ Electricity Generated","[{'connection': 'Wind Speed → Electricity Generated', 'type': '2EX', 'condition_text': 'IF Number of Turbines is ON', 'scientific_justification': 'Wind Speed only affects Electricity Generated when Number of Turbines creates the right conditions. Without Number of Turbines, Wind Speed alone cannot drive Electricity Generated.', 'sign': '+'}, {'connection': 'Number of Turbines → Electricity Generated', 'type': '2EX', 'condition_text': 'IF Wind Speed is ON', 'scientific_justification': 'Number of Turbines only affects Electricity Generated when Wind Speed creates the right conditions. Without Wind Speed, Number of Turbines alone cannot drive Electricity Generated.', 'sign': '+'}, {'connection': 'City Energy Demand → Grid Reliability', 'type': 'MUT', 'condition_text': 'IF Electricity Generated is ON', 'scientific_justification': ""City Energy Demand and Electricity Generated both affect Grid Reliability, but City Energy Demand's effect depends on Electricity Generated being active in the system."", 'sign': '-'}, {'connection': 'Electricity Generated → Grid Reliability', 'type': 'MUT', 'condition_text': 'IF City Energy Demand is ON', 'scientific_justification': ""Electricity Generated and City Energy Demand both affect Grid Reliability, but Electricity Generated's effect depends on City Energy Demand being active in the system."", 'sign': '+'}]"
G04L2-L06,4th,2,Building for the Big One,5,2,3,Earthquake Magnitude (+)→ Shaking Force; Building Flexibility (-)→ Structural Damage; Shaking Force (+)→ Structural Damage; Structural Damage (-)→ Occupant Safety; Building Flexibility (+)→ Occupant Safety,"Structural Damage ← [Building Flexibility, Shaking Force]; Occupant Safety ← [Structural Damage, Building Flexibility]",Yes,None,No,Yes,2,Building Flexibility → Structural Damage,AMP,IF Shaking Force is ON,"Building Flexibility amplifies the effect on Structural Damage, but only when Shaking Force is active. Without Shaking Force, Building Flexibility alone cannot cause changes in Structural Damage.",Building Flexibility → Occupant Safety,AMP,IF Structural Damage is ON,"Building Flexibility amplifies the effect on Occupant Safety, but only when Structural Damage is active. Without Structural Damage, Building Flexibility alone cannot cause changes in Occupant Safety.",,,,,"Building Flexibility → Structural Damage: IF Shaking Force is ON, BUT Shaking Force depends on: Earthquake Magnitude (+)→ Shaking Force; Building Flexibility → Occupant Safety: IF Structural Damage is ON, BUT Structural Damage depends on: Building Flexibility (-)→ Structural Damage; Shaking Force (+)→ Structural Damage","[{'connection': 'Building Flexibility → Structural Damage', 'type': 'AMP', 'condition_text': 'IF Shaking Force is ON', 'scientific_justification': 'Building Flexibility amplifies the effect on Structural Damage, but only when Shaking Force is active. Without Shaking Force, Building Flexibility alone cannot cause changes in Structural Damage.', 'sign': '-'}, {'connection': 'Building Flexibility → Occupant Safety', 'type': 'AMP', 'condition_text': 'IF Structural Damage is ON', 'scientific_justification': 'Building Flexibility amplifies the effect on Occupant Safety, but only when Structural Damage is active. Without Structural Damage, Building Flexibility alone cannot cause changes in Occupant Safety.', 'sign': '+'}]"
